Unnamed: 0,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
71,7vGRko4f6X3H4EfhwPsIJY,0.177,0.009059999999999999,11,-33.48,1,0.046,0.9940000000000001,0.863,0.0801,0.0475,137.832,182144,3,Eric Ardouin,Des rêves sans fin,https://p.scdn.co/mp3-preview/f69bf14378086e3ecf453f7836f5bc8262e2df8d?cid=1f08b74262ce473390052367a2428089,-1,2
72,01DELyfvCU3ZJUCDGWNfTz,0.23199999999999998,0.0784,9,-23.64,0,0.0433,0.971,0.971,0.11900000000000001,0.0397,115.564,181375,4,Akleia,Canopy,https://p.scdn.co/mp3-preview/abe5a8515ba70ffba324f43373d6c60516f3940a?cid=1f08b74262ce473390052367a2428089,-1,2
73,6TMCj9pbXE0PmopzQdhiZw,0.204,0.0671,7,-26.819000000000003,1,0.0409,0.87,0.8,0.10400000000000001,0.0753,72.937,192299,3,Neotantra,Tantric Life,https://p.scdn.co/mp3-preview/1c34127617f815987390d98c57ce3b447b21a605?cid=1f08b74262ce473390052367a2428089,-1,2
74,6WI53B4DbKjscn9mvPCMDO,0.145,0.19,4,-20.84,0,0.0375,0.9840000000000001,0.904,0.105,0.0389,79.605,221740,4,Mindezer,Depressurize,https://p.scdn.co/mp3-preview/0111995fc81ca22b92012c8d25985bca51710d35?cid=1f08b74262ce473390052367a2428089,-1,2
75,6vxsTyUImTPvkmzXTX7ivf,0.203,0.0609,0,-30.63,1,0.0398,0.968,0.777,0.0974,0.0394,66.70100000000001,205161,3,Huma,Roncudo,https://p.scdn.co/mp3-preview/0297e18b257d387f26b15aa46a50fcc4f9b29b8d?cid=1f08b74262ce473390052367a2428089,-1,2
76,5yP77S2R52lPrfCEhQekCF,0.10400000000000001,0.0578,7,-26.086,1,0.0417,0.9390000000000001,0.9259999999999999,0.102,0.0514,68.408,181091,4,Syfjaður,Framandi,https://p.scdn.co/mp3-preview/1c510e89cbc85cd58861a6777785803ad1dadee4?cid=1f08b74262ce473390052367a2428089,-1,2
77,5Tzz9ed8aqzEHMvBsYcwiN,0.147,0.00551,2,-35.001,1,0.0423,0.986,0.7709999999999999,0.134,0.0679,139.311,219500,4,Octave Rivière,Attends-moi,https://p.scdn.co/mp3-preview/5fde1f0b51665ea20eff74be0ec53f8dd47580a3?cid=1f08b74262ce473390052367a2428089,-1,2
78,5jlj0qkXgcRieANDFvg0mw,0.18,0.0122,5,-35.506,1,0.0338,0.919,0.893,0.0801,0.0392,82.775,124228,1,Gianni Goggia,After Dusk,https://p.scdn.co/mp3-preview/1f6a2dd2cb4706ef70da480ae7905dfcb321e244?cid=1f08b74262ce473390052367a2428089,-1,2
79,70EFtngIf7REQH2ZfkiVLB,0.175,0.0171,0,-32.054,1,0.04,0.975,0.915,0.0998,0.0318,80.512,220800,4,Maximilian Sievert,Slow Down the Night,https://p.scdn.co/mp3-preview/89530e03c2179b57a0f094105f9ab7a3d548df62?cid=1f08b74262ce473390052367a2428089,-1,2
80,7aYv33i1kUIlBcTMJPUzFm,0.154,0.0035600000000000002,5,-36.025999999999996,1,0.0421,0.9840000000000001,0.8009999999999999,0.0981,0.0634,70.616,185000,4,Judi Khan,Večeras,https://p.scdn.co/mp3-preview/48003a5f8378699eba31e642d350825b1eed3dd2?cid=1f08b74262ce473390052367a2428089,-1,2
81,0gRNSWEe6X27ggYGdqDT2r,0.134,0.00134,0,-46.847,1,0.0409,0.985,0.841,0.107,0.09699999999999999,66.84,202625,4,Kamryn Freeman,embrace,https://p.scdn.co/mp3-preview/465935ae6181c15055955129cce6282e96094f80?cid=1f08b74262ce473390052367a2428089,-1,2
82,6ZUPb0L9JcZM1e7c1nGCIx,0.174,0.023,0,-34.037,1,0.0384,0.961,0.902,0.14,0.07,66.42699999999999,163053,5,Roland Mercier,Sueno,https://p.scdn.co/mp3-preview/09245e7970bb6b93fa11fb35c727c9782a9df0e9?cid=1f08b74262ce473390052367a2428089,-1,2
83,6LTIZenP15l2VvkvPF2lFM,0.0752,0.0139,3,-32.816,1,0.0366,0.935,0.872,0.128,0.0748,78.757,185771,3,Chandeller,Aurora,https://p.scdn.co/mp3-preview/f0bc98c1ab8d7c0a1f7f240ce0079500ec25b417?cid=1f08b74262ce473390052367a2428089,-1,2
